X17254_at,X65965_s_at,U70987_at,X65965_s_at,X55733_at,U30828_at,D30037_at,X65965_s_at,Y08765_s_at,J05243_at,Y08765_s_at,D49950_at,J02986_cds1_at,X17042_at,J02986_cds1_at,U57623_s_at,D50914_at,L27476_at,K01911_at,U90552_s_at,U60205_at,X14329_at,M74719_at,U61263_at,U11090_at,HG1227-HT1227_s_at,D84294_at,M98528_at,X75755_rna1_s_at,HG1227-HT1227_s_at,X75755_rna1_s_at,X68560_at,X75755_rna1_s_at,U22055_at,D21852_at,U61263_at,U65785_at,M99436_at,M59815_at,HG3513-HT3707_at,L20433_at,U10362_at,U07158_at,X87838_at,L20433_at,D63880_at,M62505_at,M11722_at,S73813_at,HG2591-HT2687_s_at,S73813_at,J02783_at,D29643_at,X87838_at,U20759_s_at,X87838_at,D29643_at,U94831_at,X76013_at,HG67-HT67_f_at,U83461_at,U36922_at,M27891_at,U36922_at,U70867_at,U94831_at,S78873_s_at,X80818_at,X67698_at,X00038_at,M32304_s_at,X80818_at,M28170_at,U33017_at,M28170_at,Z54367_s_at,D11139_at,U47634_at,M28170_at,M15841_at,M28170_at,M15841_at,M28170_at,U21551_at,S69231_s_at,U09587_at,S69231_s_at,J03909_at,M28170_at,HG2639-HT2735_s_at,U51240_at,M19301_at,X91103_at,M29474_at,V01510_rna1_at,Z11518_s_at,X77909_at,Z32765_at,M83186_at,M64788_at
174,223,-151,223,1875,307,152,223,699,386,699,115,248,403,248,530,265,136,100,1130,-25,767,349,539,912,-320,362,-36,446,-320,446,598,446,1381,441,539,890,-21,900,45,-404,-72,525,1572,-404,734,-504,613,-52,-1428,-52,1,887,1572,-176,1572,887,278,1823,-186,208,10,-233,10,304,278,141,3069,833,10,672,3069,280,-633,280,435,-144,907,280,149,280,149,280,173,-134,1114,-134,488,280,309,4402,70,99,221,-863,1,62,2202,132,-2454
358,1644,-623,1644,2836,-137,116,1644,1070,629,1070,32,271,140,271,676,40,133,-56,1283,-13,902,3620,539,1203,-251,481,154,655,-251,655,262,655,1227,577,539,1143,-89,1601,122,-352,-170,625,1260,-352,223,-358,4066,-47,-1042,-47,-46,461,1260,-241,1260,461,-74,1938,-85,278,632,-247,632,602,-74,-484,2739,449,-149,1478,2739,235,-856,235,509,-350,1346,235,172,235,172,235,230,-526,1310,-526,-230,235,407,2033,128,277,85,-1208,16,680,2418,-398,-2856
582,494,-210,494,6183,303,57,494,629,2760,629,9,324,848,324,549,297,218,-83,824,136,501,195,482,1004,-266,1041,49,1082,-266,1082,617,1082,3929,741,482,2062,-217,737,47,-456,845,439,1409,-456,686,-497,1391,-50,-963,-50,2728,1980,1409,-132,1409,1980,83,714,-69,176,-2,336,-2,349,83,-35,3337,1257,-48,1184,3337,24,-540,24,1181,-68,812,24,796,24,796,24,245,-303,2858,-303,753,24,780,4988,80,2,-4,-629,216,491,2140,-29,-2147
-102,359,-146,359,2160,-152,36,359,537,1722,537,54,243,1094,243,264,204,80,79,349,189,658,132,594,967,-241,254,51,242,-241,242,333,242,1678,346,594,1159,-152,623,31,-280,140,334,823,-280,721,-196,972,126,-472,126,458,737,823,-68,823,737,196,1623,-21,101,-50,498,-50,268,196,-19,2244,833,-4,1142,2244,-54,-336,-54,274,15,590,-54,280,-54,280,-54,117,-217,1461,-217,509,-54,362,1083,99,67,-35,-345,44,73,1502,-86,-613
454,703,-215,703,3527,-104,144,703,1724,1587,1724,38,145,1343,145,338,139,84,58,816,78,769,126,580,798,-219,880,-72,593,-219,593,333,593,2886,657,580,1430,-140,764,11,-326,122,402,1794,-326,551,-355,780,-32,-496,-32,2261,1292,1794,-64,1794,1292,405,2369,69,96,-18,-376,-18,551,405,417,2244,494,-64,615,2244,-16,-378,-16,666,-43,337,-16,572,-16,572,-16,66,-103,2383,-103,14,-16,443,753,57,0,-124,-306,236,204,1608,-143,-522
349,1622,-204,1622,2369,-28,76,1622,356,169,356,7,90,5252,90,321,-21,110,54,488,-22,402,1261,471,415,-195,1225,-140,215,-195,215,103,215,728,237,471,474,-280,411,-33,-244,-168,229,379,-244,198,-139,2433,179,-788,179,517,773,379,-135,379,773,198,918,-20,87,70,107,70,284,198,53,2096,363,-229,889,2096,84,-403,84,186,-60,290,84,122,84,122,84,60,-158,423,-158,632,84,196,5026,10,53,-80,-619,79,-80,1097,80,-1095
321,484,-30,484,2625,118,214,484,473,719,473,103,166,2408,166,264,540,270,4554,945,58,488,4638,689,1099,-87,2138,-103,731,-87,731,685,731,1633,631,689,1014,-139,474,14,220,354,623,1988,220,550,-276,9811,140,243,140,834,1286,1988,-82,1988,1286,549,1664,7,159,1185,-97,1185,170,549,155,3177,1800,39,875,3177,87,-541,87,378,-107,408,87,600,87,600,87,96,-544,1597,-544,792,87,166,11150,58,3,351,-406,110,146,905,-186,-758
303,230,-224,230,3049,39,136,230,1044,859,1044,72,102,2525,102,340,396,173,-31,1754,57,417,129,594,989,-254,570,-14,628,-254,628,689,628,1913,446,594,917,-234,632,42,-319,161,583,1326,-319,694,-268,257,104,-359,104,301,1108,1326,-145,1326,1108,375,2569,-110,154,-40,820,-40,324,375,366,2667,398,-110,453,2667,155,-160,155,345,39,482,155,384,155,384,155,103,-41,1388,-41,593,155,560,2357,32,106,-146,-531,123,36,1831,9,-1781
680,306,0,306,3282,-25,303,306,705,661,705,158,155,2133,155,188,404,116,2315,2069,49,448,1559,445,683,-142,826,-21,585,-142,585,822,585,1651,541,445,908,-191,531,-23,-210,331,513,1720,-210,1287,-181,6270,143,29,143,602,1389,1720,-112,1720,1389,520,3025,66,34,1033,76,1033,224,520,27,3023,1646,-78,751,3023,371,-201,371,393,-1,529,371,794,371,794,371,283,-273,1658,-273,1155,371,334,10737,41,58,726,-461,210,-65,1120,-87,-1653
222,549,-240,549,3281,363,80,549,550,1034,550,28,138,1232,138,387,134,337,445,822,79,625,1624,542,1147,-325,469,-79,546,-325,546,825,546,1778,487,542,955,-170,800,24,-313,117,413,2085,-313,475,-222,6845,85,-352,85,228,1476,2085,-94,2085,1476,430,2416,45,205,962,36,962,607,430,14,2886,799,39,192,2886,360,-461,360,514,-64,779,360,346,360,346,360,231,-488,1565,-488,110,360,327,4330,79,84,643,-600,119,127,921,-88,-1571
640,1489,135,1489,4113,254,204,1489,919,447,919,117,89,1150,89,563,498,57,157,720,-53,1483,710,707,888,-118,2115,-84,1019,-118,1019,1709,1019,3082,1051,707,1984,-44,617,59,-601,-284,259,2113,-601,883,-768,1234,334,-1825,334,597,2772,2113,-283,2113,2772,725,2409,196,399,176,375,176,614,725,444,4834,1379,-27,852,4834,-217,-790,-217,71,-340,1082,-217,324,-217,324,-217,120,-774,2688,-774,-236,-217,540,8865,89,263,-260,-1806,-52,718,1911,-321,-2041
247,216,252,216,3969,-137,79,216,328,252,328,99,211,1232,211,366,34,178,-29,640,128,496,872,609,695,-169,624,-47,266,-169,266,244,266,1731,309,609,983,16,585,57,-225,275,292,1373,-225,1281,-285,-135,418,-269,418,498,926,1373,-117,1373,926,210,1749,-21,95,266,22,266,252,210,-99,2470,750,-98,59,2470,195,-197,195,324,-61,523,195,119,195,119,195,125,-396,1483,-396,1287,195,142,7274,106,52,-32,-537,59,201,971,124,-219
369,607,-147,607,2862,137,94,607,477,1041,477,101,167,1519,167,154,302,294,831,1104,-45,328,1472,535,965,-178,616,1,410,-178,410,494,410,1947,305,535,815,-154,576,22,-29,263,307,2061,-29,256,-328,7686,53,-363,53,301,768,2061,-98,2061,768,304,2044,-167,39,716,-180,716,546,304,451,2221,962,-29,520,2221,285,-352,285,9,47,521,285,144,285,144,285,136,-114,1922,-114,413,285,147,5811,-4,19,184,-553,187,194,1363,-77,-698
167,2015,-88,2015,8004,145,192,2015,722,1717,722,22,157,180,157,370,916,136,7533,2168,29,403,6195,726,823,-52,2216,-74,1796,-52,1796,1536,1796,3770,1528,726,1947,-86,852,26,-295,357,953,1489,-295,568,-414,10926,162,541,162,977,2723,1489,-84,1489,2723,665,5711,264,163,3157,205,3157,126,665,159,2307,788,-9,524,2307,470,-427,470,118,-167,623,470,1769,470,1769,470,58,-444,3559,-444,170,470,389,6605,35,83,1762,-111,339,374,1396,-244,-1361
266,1289,-178,1289,3875,-48,-21,1289,33,604,33,48,152,1912,152,201,-346,294,122,1190,41,248,2447,86,575,32,2274,-89,349,32,349,477,349,1231,1882,86,1149,-34,-156,44,-131,-368,22,2067,-131,454,-192,1830,24,-99,24,1023,-54,2067,-137,2067,-54,-4,979,54,16,1190,-124,1190,347,-4,-114,1532,2047,-69,884,1532,514,-31,514,259,-63,769,514,1621,514,1621,514,164,-353,3231,-353,64,514,348,11,38,112,11,-326,0,-93,854,-161,249
570,1269,-206,1269,1723,56,18,1269,749,304,749,74,243,354,243,315,-262,60,1813,320,-34,447,8949,377,814,-154,449,10,264,-154,264,402,264,822,266,377,745,-147,758,27,-283,-202,197,1450,-283,43,-109,219,71,-533,71,81,375,1450,-129,1450,375,119,1297,-128,88,795,-102,795,175,119,201,2316,914,-150,741,2316,95,-71,95,269,26,512,95,452,95,452,95,171,-439,961,-439,133,95,149,6563,32,24,23,-477,56,-10,1411,-1,-1307
324,381,-300,381,1531,110,94,381,775,397,775,43,265,178,265,427,132,197,-9,501,41,598,245,313,957,-264,416,-26,355,-264,355,210,355,1259,288,313,575,-39,782,3,-330,-414,132,929,-330,613,-260,807,210,-771,210,24,524,929,-169,929,524,36,1609,-18,108,-87,425,-87,752,36,169,2897,163,-193,351,2897,53,-281,53,319,-246,809,53,341,53,341,53,119,-402,1542,-402,-34,53,136,467,20,5,66,-980,30,-110,1506,-117,-630
948,70,-225,70,2068,228,154,70,661,642,661,168,203,1687,203,300,269,226,924,829,-31,345,674,346,749,-134,795,-6,1273,-134,1273,547,1273,1737,638,346,984,-107,-576,-25,-348,151,452,1308,-348,298,-278,1628,23,-618,23,495,1131,1308,-122,1308,1131,623,3009,-21,194,103,-205,103,1038,623,128,2835,1270,-63,712,2835,418,-317,418,565,-81,557,418,679,418,679,418,174,-561,1360,-561,503,418,590,7477,112,95,48,-611,194,122,1377,225,-1178
457,1512,-257,1512,1804,-52,28,1512,568,295,568,9,162,3711,162,229,263,89,222,481,-67,833,1775,523,564,-253,1187,-31,539,-253,539,174,539,1171,198,523,687,-21,680,35,-352,261,408,691,-352,231,-409,2790,179,-443,179,-15,708,691,-106,691,708,314,1296,-96,130,175,-229,175,304,314,247,2730,643,-138,272,2730,391,-472,391,312,37,722,391,644,391,644,391,118,-124,813,-124,335,391,252,8681,78,77,18,-899,28,424,1697,-18,-1721
529,860,-116,860,4456,-137,83,860,342,1122,342,117,197,1750,197,326,355,191,375,1090,20,441,2547,586,915,-194,504,10,459,-194,459,188,459,1858,356,586,866,-153,608,23,-86,216,406,781,-86,306,-253,5455,196,-59,196,492,662,781,-107,781,662,102,1945,-31,168,1103,66,1103,269,102,15,2736,862,-44,278,2736,495,-639,495,135,-108,508,495,180,495,180,495,122,-256,1435,-256,551,495,113,13536,62,74,111,-508,126,373,995,-117,-1147
126,150,-203,150,3157,-53,100,150,503,209,503,12,283,291,283,663,-62,111,42,882,-109,963,406,718,1422,-388,261,-120,259,-388,259,286,259,808,441,718,1237,-29,1023,84,-464,-253,474,1899,-464,433,-618,2495,220,-1502,220,-563,669,1899,-81,1899,669,-75,1699,-109,161,236,34,236,145,-75,-336,3928,757,-208,388,3928,219,-843,219,323,-195,783,219,200,219,200,219,345,-890,1398,-890,-136,219,220,2207,-10,70,70,-1114,23,98,1813,-220,-2328
